'Titulo','Direção','Nota','Link','Ano','Categoria'
'Toy Story - Um Mundo de Aventuras','N/A','4.6','Https://www.adorocinema.com/filmes/filme-14264/','4,6','N,/,A'
'Cantando na Chuva','N/A','4.6','Https://www.adorocinema.com/filmes/filme-5120/','4,6','N,/,A'
'À Procura da Felicidade','N/A','4.6','Https://www.adorocinema.com/filmes/filme-54098/','4,6','N,/,A'
'Harry Potter e as Relíquias da Morte - Parte 2','N/A','4.6','Https://www.adorocinema.com/filmes/filme-134925/','4,6','N,/,A'
'Divertida Mente','N/A','4.5','Https://www.adorocinema.com/filmes/filme-196960/','4,5','N,/,A'
'Toy Story 3','N/A','4.6','Https://www.adorocinema.com/filmes/filme-126123/','4,6','N,/,A'
'Três Homens em Conflito','N/A','4.6','Https://www.adorocinema.com/filmes/filme-19395/','4,6','N,/,A'
'Bastardos Inglórios','N/A','4.6','Https://www.adorocinema.com/filmes/filme-60208/','4,6','N,/,A'
'Star Wars: O Império Contra-ataca','N/A','4.6','Https://www.adorocinema.com/filmes/filme-25802/','4,6','N,/,A'
'Homens de Honra','N/A','4.6','Https://www.adorocinema.com/filmes/filme-27434/','4,6','N,/,A'
'Histórias Cruzadas','N/A','3.2','Https://www.adorocinema.com/filmes/filme-176673/','3,2','N,/,A'
'A Origem','N/A','4.6','Https://www.adorocinema.com/filmes/filme-143692/','4,6','N,/,A'
'Logan','N/A','4.0','Https://www.adorocinema.com/filmes/filme-225116/','4,0','N,/,A'
'Ben-Hur','N/A','4.6','Https://www.adorocinema.com/filmes/filme-1532/','4,6','N,/,A'
'Até o Último Homem','N/A','3.3','Https://www.adorocinema.com/filmes/filme-208104/','3,3','N,/,A'
'O Sexto Sentido','N/A','4.6','Https://www.adorocinema.com/filmes/filme-22092/','4,6','N,/,A'
'Coringa','N/A','4.2','Https://www.adorocinema.com/filmes/filme-258374/','4,2','N,/,A'
'Matrix','N/A','4.6','Https://www.adorocinema.com/filmes/filme-19776/','4,6','N,/,A'
'A Bela e a Fera','N/A','4.8','Https://www.adorocinema.com/filmes/filme-7229/','4,8','N,/,A'
'Tempos Modernos','N/A','4.6','Https://www.adorocinema.com/filmes/filme-1832/','4,6','N,/,A'
'Wall-E','N/A','4.6','Https://www.adorocinema.com/filmes/filme-123734/','4,6','N,/,A'
'O Pianista','N/A','4.6','Https://www.adorocinema.com/filmes/filme-28359/','4,6','N,/,A'
'Jurassic Park - Parque dos Dinossauros','N/A','5.0','Https://www.adorocinema.com/filmes/filme-8488/','5,0','N,/,A'
'A Noviça Rebelde','N/A','4.6','Https://www.adorocinema.com/filmes/filme-238/','4,6','N,/,A'
'Batman - O Cavaleiro das Trevas Ressurge','N/A','4.0','Https://www.adorocinema.com/filmes/filme-132874/','4,0','N,/,A'
'Procurando Nemo','N/A','4.5','Https://www.adorocinema.com/filmes/filme-29057/','4,5','N,/,A'
'Seven - Os Sete Crimes Capitais','N/A','4.6','Https://www.adorocinema.com/filmes/filme-13892/','4,6','N,/,A'
'Extraordinário','N/A','3.7','Https://www.adorocinema.com/filmes/filme-232132/','3,7','N,/,A'
'Harry Potter e o Prisioneiro de Azkaban','N/A','4.6','Https://www.adorocinema.com/filmes/filme-46865/','4,6','N,/,A'
'Top Gun: Maverick','N/A','4.0','Https://www.adorocinema.com/filmes/filme-186636/','4,0','N,/,A'
'Up - Altas Aventuras','N/A','4.6','Https://www.adorocinema.com/filmes/filme-130368/','4,6','N,/,A'
'Cidade de Deus','N/A','4.6','Https://www.adorocinema.com/filmes/filme-45264/','4,6','N,/,A'
'Titanic','N/A','4.1','Https://www.adorocinema.com/filmes/filme-5818/','4,1','N,/,A'
'Coração Valente','N/A','4.6','Https://www.adorocinema.com/filmes/filme-10080/','4,6','N,/,A'
'Os Vingadores - The Avengers','N/A','4.0','Https://www.adorocinema.com/filmes/filme-130440/','4,0','N,/,A'
